Source,Target,Weight
3883.HK-2013,000031.SZ-2014,0.904485259
3883.HK-2013,1638.HK-2013,0.873432737
3883.HK-2013,600376.SH-2015,0.868357333
3883.HK-2013,3380.HK-2014,0.867426965
3883.HK-2013,1628.HK-2019,0.862101346
3883.HK-2013,000671.SZ-2015,0.860899816
3883.HK-2013,2868.HK-2014,0.855133118
3883.HK-2013,600325.SH-2014,0.851432506
1638.HK-2013,1777.HK-2014,0.94660628
1638.HK-2013,1628.HK-2013,0.944685304
1638.HK-2013,1777.HK-2015,0.934450577
1638.HK-2013,3883.HK-2016,0.934294455
1638.HK-2013,000031.SZ-2014,0.933488288
1638.HK-2013,1777.HK-2013,0.927920476
1638.HK-2013,3883.HK-2014,0.927822171
1638.HK-2013,1628.HK-2015,0.926942789
1638.HK-2013,1966.HK-2014,0.925201713
1638.HK-2013,1966.HK-2015,0.917376915
1638.HK-2013,1098.HK-2013,0.906297013
1638.HK-2013,1098.HK-2016,0.906296175
1638.HK-2013,2868.HK-2013,0.905405792
1638.HK-2013,600708.SH-2015,0.898482227
1638.HK-2013,3380.HK-2015,0.888973948
1638.HK-2013,000031.SZ-2015,0.883971327
1638.HK-2013,000031.SZ-2018,0.87739808
1638.HK-2013,0884.HK-2014,0.869484509
000671.SZ-2013,1233.HK-2015,0.940401689
000671.SZ-2013,1908.HK-2019,0.933335377
000671.SZ-2013,000732.SZ-2015,0.895939961
000671.SZ-2013,000671.SZ-2015,0.892415695
000671.SZ-2013,1908.HK-2018,0.891837495
000671.SZ-2013,3301.HK-2016,0.887224372
000671.SZ-2013,1233.HK-2018,0.887104893
000671.SZ-2013,1966.HK-2019,0.886303449
000671.SZ-2013,1233.HK-2017,0.884679588
000671.SZ-2013,000732.SZ-2014,0.880653736
000671.SZ-2013,2868.HK-2014,0.872431541
000671.SZ-2013,3380.HK-2014,0.869021589
000671.SZ-2013,1628.HK-2019,0.855680937
000671.SZ-2013,0884.HK-2017,0.847033045
000671.SZ-2013,600048.SH-2013,0.840896428
000671.SZ-2013,0884.HK-2018,0.834014787
1098.HK-2013,1098.HK-2016,0.993915468
1098.HK-2013,1628.HK-2015,0.950790023
1098.HK-2013,2868.HK-2013,0.946009566
1098.HK-2013,1628.HK-2013,0.944131471
1098.HK-2013,600325.SH-2016,0.941502592
1098.HK-2013,3883.HK-2014,0.93875273
1098.HK-2013,000926.SZ-2018,0.934164051
1098.HK-2013,3883.HK-2016,0.930808116
1098.HK-2013,1966.HK-2014,0.928198554
1098.HK-2013,1777.HK-2015,0.927515716
1098.HK-2013,1966.HK-2015,0.922628598
1098.HK-2013,000031.SZ-2018,0.920224352
1098.HK-2013,1777.HK-2013,0.918774646
1098.HK-2013,1777.HK-2014,0.913991604
1098.HK-2013,1098.HK-2014,0.912846868
1098.HK-2013,000926.SZ-2019,0.906155698
1098.HK-2013,1628.HK-2014,0.898772025
1098.HK-2013,000926.SZ-2017,0.890889834
1098.HK-2013,1862.HK-2013,0.890766997
1098.HK-2013,3380.HK-2015,0.889891672
1098.HK-2013,0106.HK-2016,0.889519404
1098.HK-2013,000031.SZ-2014,0.889157728
1098.HK-2013,1281.HK-2017,0.887143385
0813.HK-2013,0813.HK-2014,0.931029956
0813.HK-2013,1109.HK-2014,0.894483855
0813.HK-2013,0813.HK-2018,0.888996432
0813.HK-2013,3883.HK-2018,0.885884964
0813.HK-2013,1109.HK-2017,0.88502436
0813.HK-2013,0813.HK-2017,0.88180029
0813.HK-2013,2007.HK-2014,0.881018215
0813.HK-2013,600383.SH-2018,0.880482021
0813.HK-2013,600340.SH-2019,0.879976779
0813.HK-2013,2777.HK-2017,0.877980694
0813.HK-2013,1109.HK-2016,0.861175808
3383.HK-2013,001979.SZ-2016,0.910404225
3383.HK-2013,0106.HK-2013,0.909848833
